iter	Passed	Remaining
0	0	681
1	1	608
2	1	585
3	2	577
4	2	571
5	3	561
6	3	554
7	4	554
8	4	548
9	5	547
10	6	547
11	6	549
12	7	548
13	7	549
14	8	548
15	8	547
16	9	543
17	9	541
18	10	539
19	10	538
20	11	542
21	12	542
22	12	545
23	13	545
24	13	544
25	14	542
26	14	540
27	15	538
28	16	536
29	16	536
30	17	536
31	17	539
32	18	540
33	19	540
34	19	540
35	20	540
36	20	538
37	21	538
38	21	536
39	22	535
40	22	534
41	23	533
42	24	535
43	24	536
44	25	535
45	25	535
46	26	534
47	26	533
48	27	533
49	28	532
50	28	532
51	29	531
52	29	530
53	30	532
54	30	532
55	31	531
56	32	530
57	32	530
58	33	529
59	33	528
60	34	528
61	34	526
62	35	526
63	35	525
64	36	527
65	37	528
66	37	527
67	38	527
68	39	527
69	39	526
70	40	526
71	40	524
72	41	523
73	41	523
74	42	522
75	43	524
76	43	523
77	44	523
78	44	522
79	45	521
80	45	520
81	46	519
82	46	515
83	47	515
84	47	514
85	48	514
86	49	514
87	49	514
88	50	513
89	50	513
90	51	512
91	51	511
92	52	510
93	52	509
94	53	508
95	53	507
96	54	506
97	55	506
98	55	506
99	56	506
100	56	505
101	57	505
102	57	504
103	58	503
104	59	503
105	59	502
106	60	501
107	60	500
108	61	500
109	61	500
110	62	500
111	63	499
112	63	498
113	64	498
114	64	497
115	65	496
116	65	494
117	66	493
118	66	492
119	67	492
120	67	492
121	68	491
122	68	490
123	69	489
124	69	489
125	70	488
126	70	487
127	71	486
128	71	485
129	72	484
130	72	483
131	73	483
132	74	483
133	74	482
134	75	482
135	75	482
136	76	481
137	77	481
138	77	480
139	78	480
140	78	479
141	79	477
142	79	477
143	80	477
144	80	477
145	81	476
146	82	475
147	82	475
148	83	474
149	83	473
150	84	473
151	84	472
152	85	471
153	85	471
154	86	470
155	86	470
156	87	469
157	87	468
158	88	468
159	89	468
160	89	466
161	90	465
162	90	465
163	91	464
164	91	463
165	92	463
166	92	463
167	93	462
168	93	461
169	94	460
170	94	460
171	95	459
172	96	459
173	96	458
174	97	457
175	97	457
176	98	457
177	98	457
178	99	456
179	100	455
180	100	455
181	101	454
182	101	453
183	102	453
184	102	453
185	103	452
186	104	452
187	104	452
188	105	452
189	105	451
190	106	450
191	106	450
192	107	449
193	108	448
194	108	448
195	109	447
196	109	446
197	110	445
198	110	446
199	111	446
200	112	445
201	112	444
202	113	444
203	113	443
204	114	442
205	114	442
206	115	441
207	115	441
208	116	440
209	117	440
210	117	440
211	118	439
212	118	439
213	119	438
214	119	437
215	120	436
216	120	436
217	121	435
218	121	434
219	122	434
220	123	434
221	123	434
222	124	433
223	124	432
224	125	432
225	126	431
226	126	431
227	127	430
228	127	429
229	128	429
230	128	428
231	129	428
232	130	428
233	130	428
234	131	427
235	131	426
236	132	426
237	132	425
238	133	424
239	133	424
240	134	423
241	135	423
242	135	423
243	136	422
244	136	422
245	137	421
246	138	420
247	138	420
248	139	419
249	139	419
250	140	418
251	140	417
252	141	417
253	141	416
254	142	416
255	143	415
256	143	415
257	144	414
258	144	414
259	145	413
260	145	413
261	146	412
262	147	412
263	147	411
264	148	411
265	148	411
266	149	410
267	150	409
268	150	409
269	151	408
270	151	407
271	152	407
272	152	406
273	153	406
274	153	405
275	154	405
276	155	404
277	155	404
278	156	403
279	156	402
280	157	402
281	157	401
282	158	401
283	158	400
284	159	399
285	160	399
286	160	399
287	161	398
288	161	398
289	162	397
290	163	397
291	163	396
292	164	396
293	164	395
294	165	394
295	165	394
296	166	393
297	166	393
298	167	392
299	168	392
300	168	391
301	169	390
302	169	390
303	170	389
304	170	389
305	171	388
306	172	388
307	173	388
308	173	388
309	174	387
310	174	387
311	175	386
312	175	385
313	176	385
314	176	384
315	177	383
316	177	383
317	178	383
318	179	382
319	179	382
320	180	381
321	180	381
322	181	380
323	182	380
324	182	379
325	183	378
326	183	378
327	184	377
328	185	377
329	185	377
330	186	376
331	186	376
332	187	375
333	188	375
334	188	374
335	189	374
336	189	373
337	190	373
338	191	373
339	191	372
340	192	372
341	193	371
342	193	371
343	194	370
344	194	369
345	195	369
346	195	368
347	196	368
348	197	367
349	197	367
350	198	366
351	198	366
352	199	365
353	199	364
354	200	364
355	201	363
356	201	363
357	202	362
358	202	361
359	203	361
360	203	361
361	204	360
362	205	360
363	205	359
364	206	358
365	206	358
366	207	357
367	207	357
368	208	356
369	209	355
370	209	355
371	210	354
372	210	354
373	211	353
374	211	353
375	212	352
376	213	352
377	213	351
378	214	350
379	214	350
380	215	349
381	215	349
382	216	348
383	217	348
384	217	347
385	218	346
386	218	346
387	219	345
388	219	345
389	220	344
390	220	343
391	221	343
392	221	342
393	222	342
394	223	341
395	223	341
396	224	340
397	224	339
398	225	339
399	225	338
400	226	337
401	226	337
402	227	336
403	228	336
404	228	335
405	229	335
406	229	334
407	230	334
408	230	333
409	231	332
410	231	332
411	232	331
412	232	331
413	233	330
414	234	330
415	234	329
416	235	329
417	236	328
418	236	328
419	237	327
420	237	326
421	238	326
422	238	325
423	239	325
424	239	324
425	240	324
426	241	323
427	241	323
428	242	322
429	243	322
430	243	321
431	244	321
432	244	320
433	245	320
434	246	319
435	246	319
436	247	318
437	247	318
438	248	317
439	249	317
440	249	316
441	250	315
442	250	315
443	251	314
444	251	314
445	252	313
446	253	313
447	255	314
448	256	314
449	256	313
450	257	313
451	258	312
452	258	312
453	259	311
454	259	311
455	260	310
456	260	310
457	261	309
458	262	308
459	262	308
460	263	307
461	263	307
462	264	306
463	264	305
464	265	305
465	266	304
466	266	304
467	267	303
468	267	303
469	268	302
470	268	301
471	269	301
472	269	300
473	270	300
474	270	299
475	271	299
476	272	298
477	272	297
478	273	297
479	273	296
480	274	296
481	274	295
482	275	294
483	275	294
484	276	293
485	277	292
486	277	292
487	278	292
488	278	291
489	279	290
490	280	290
491	280	289
492	281	289
493	281	288
494	282	288
495	282	287
496	283	286
497	284	286
498	284	285
499	285	285
500	285	284
501	286	284
502	286	283
503	287	282
504	287	282
505	288	281
506	289	281
507	289	280
508	290	280
509	291	279
510	291	279
511	292	278
512	292	277
513	293	277
514	293	276
515	294	276
516	294	275
517	295	274
518	295	274
519	296	273
520	297	273
521	297	272
522	298	271
523	298	271
524	299	270
525	299	270
526	300	269
527	300	268
528	301	268
529	301	267
530	302	267
531	303	266
532	303	266
533	304	265
534	305	265
535	305	264
536	306	263
537	306	263
538	307	262
539	307	262
540	308	261
541	309	261
542	309	260
543	310	260
544	310	259
545	311	259
546	312	258
547	312	257
548	313	257
549	314	256
550	314	256
551	315	255
552	315	255
553	316	254
554	317	254
555	317	253
556	318	253
557	318	252
558	319	251
559	319	251
560	320	250
561	320	250
562	321	249
563	322	248
564	322	248
565	323	247
566	323	247
567	324	246
568	324	246
569	325	245
570	325	244
571	326	244
572	327	244
573	328	243
574	328	242
575	329	242
576	329	241
577	330	241
578	330	240
579	331	239
580	331	239
581	332	238
582	333	238
583	333	237
584	334	237
585	334	236
586	335	236
587	336	235
588	336	234
589	337	234
590	337	233
591	338	233
592	338	232
593	339	232
594	340	231
595	340	230
596	341	230
597	341	229
598	342	229
599	342	228
600	343	227
601	343	227
602	344	226
603	344	226
604	345	225
605	346	225
606	346	224
607	347	223
608	347	223
609	348	222
610	348	222
611	349	221
612	349	220
613	350	220
614	351	219
615	351	219
616	352	218
617	353	218
618	353	217
619	354	217
620	354	216
621	355	215
622	355	215
623	356	214
624	357	214
625	357	213
626	358	213
627	358	212
628	359	211
629	359	211
630	360	210
631	361	210
632	361	209
633	362	209
634	362	208
635	363	207
636	363	207
637	364	206
638	365	206
639	365	205
640	366	205
641	366	204
642	367	203
643	367	203
644	368	202
645	369	202
646	369	201
647	370	201
648	371	200
649	371	200
650	372	199
651	372	199
652	373	198
653	374	197
654	374	197
655	375	196
656	375	196
657	376	195
658	377	195
659	377	194
660	378	194
661	378	193
662	379	192
663	380	192
664	380	191
665	381	191
666	381	190
667	382	190
668	383	189
669	383	189
670	384	188
671	384	187
672	385	187
673	386	186
674	386	186
675	387	185
676	387	184
677	388	184
678	388	183
679	389	183
680	390	182
681	390	182
682	391	181
683	391	180
684	392	180
685	392	179
686	393	179
687	393	178
688	394	178
689	395	177
690	395	176
691	396	176
692	396	175
693	397	175
694	398	174
695	398	174
696	399	173
697	399	172
698	400	172
699	400	171
700	401	171
701	402	170
702	402	170
703	403	169
704	403	168
705	404	168
706	404	167
707	405	167
708	405	166
709	406	165
710	406	165
711	407	164
712	408	164
713	408	163
714	409	163
715	410	162
716	410	162
717	411	161
718	411	160
719	412	160
720	412	159
721	413	159
722	414	158
723	414	158
724	415	157
725	415	156
726	416	156
727	416	155
728	417	155
729	418	154
730	418	154
731	419	153
732	419	152
733	420	152
734	420	151
735	421	151
736	422	150
737	422	150
738	423	149
739	423	148
740	424	148
741	424	147
742	425	147
743	426	146
744	426	146
745	427	145
746	427	144
